frequency,darm
39.3,7.38e-20
39.4,7.079999999999999e-20
39.5,6.96e-20
39.6,6.7e-20
39.7,6.080000000000001e-20
39.8,6.349999999999999e-20
39.9,6.6e-20
40.0,6.92e-20
40.1,6.86e-20
40.2,6.75e-20
40.3,7.919999999999999e-20
40.4,9.42e-20
40.5,9.24e-20
40.6,7.36e-20
40.7,6.179999999999999e-20
40.8,6.889999999999999e-20
40.9,7.15e-20
41.0,6.719999999999999e-20
41.1,6.11e-20
41.2,5.41e-20
41.3,5.62e-20
41.4,5.690000000000001e-20
41.5,5.919999999999999e-20
41.6,6.06e-20
41.7,6.190000000000001e-20
41.8,6.230000000000001e-20
41.9,5.820000000000001e-20
42.0,5.63e-20
42.1,5.75e-20
42.2,5.64e-20
42.3,5.32e-20
42.4,5.49e-20
42.5,5.7e-20
42.6,5.93e-20
42.7,6.67e-20
42.8,7.48e-20
42.9,7.45e-20
43.0,6.59e-20
43.1,5.35e-20
43.2,5.25e-20
43.3,5.45e-20
43.4,4.9699999999999995e-20
43.5,4.75e-20
43.6,4.83e-20
43.7,5.23e-20
43.8,6.1e-20
43.9,6.32e-20
44.0,5.89e-20
44.1,5.4e-20
44.2,5.31e-20
44.3,5.35e-20
44.4,6.139999999999999e-20
44.5,6.51e-20
44.6,6.25e-20
44.7,5.2000000000000005e-20
44.8,4.62e-20
44.9,4.7300000000000005e-20
45.0,4.6900000000000004e-20
45.1,4.46e-20
45.2,4.51e-20
45.3,5.0299999999999997e-20
45.4,4.91e-20
45.5,4.45e-20
45.6,4.4900000000000004e-20
45.7,4.74e-20
45.8,4.76e-20
45.9,4.5e-20
46.0,4.22e-20
46.1,4.4800000000000007e-20
46.2,4.5800000000000004e-20
46.3,4.37e-20
46.4,3.92e-20
46.5,3.88e-20
46.6,4.08e-20
46.7,4.09e-20
46.8,4.3399999999999996e-20
46.9,4.65e-20
47.0,4.2900000000000004e-20
47.1,4.2900000000000004e-20
47.2,4.6e-20
47.3,4.6299999999999996e-20
47.4,4.26e-20
47.5,3.86e-20
47.6,4.01e-20
47.7,4.47e-20
47.8,4.65e-20
47.9,4.8099999999999996e-20
48.0,4.6e-20
48.1,4.41e-20
48.2,4.38e-20
48.3,4.66e-20
48.4,4.8700000000000004e-20
48.5,4.66e-20
48.6,4.18e-20
48.7,4.26e-20
48.8,4.02e-20
48.9,4.07e-20
49.0,4.24e-20
49.1,4.3399999999999996e-20
49.2,3.88e-20
49.3,3.59e-20
49.4,3.57e-20
49.5,3.8900000000000003e-20
49.6,4.32e-20
49.7,4.4900000000000004e-20
49.8,4.47e-20
49.9,4.5700000000000006e-20
50.0,4.2900000000000004e-20
50.1,3.9100000000000004e-20
50.2,3.8e-20
50.3,4.02e-20
50.4,4.16e-20
50.5,4.08e-20
50.6,4.01e-20
50.7,3.74e-20
50.8,3.46e-20
50.9,3.9599999999999997e-20
51.0,4.5199999999999996e-20
51.1,4.7199999999999996e-20
51.2,4.2000000000000004e-20
51.3,3.64e-20
51.4,3.3100000000000003e-20
51.5,3.37e-20
51.6,3.75e-20
51.7,3.74e-20
51.8,4.01e-20
51.9,3.97e-20
52.0,3.7e-20
52.1,3.6200000000000004e-20
52.2,3.93e-20
52.3,3.85e-20
52.4,4.1900000000000007e-20
52.5,4.5199999999999996e-20
52.6,4.83e-20
52.7,4.4800000000000007e-20
52.8,3.77e-20
52.9,3.9800000000000003e-20
53.0,3.9599999999999997e-20
53.1,3.81e-20
53.2,3.64e-20
53.3,3.4900000000000003e-20
53.4,3.48e-20
53.5,3.6000000000000003e-20
53.6,4.07e-20
53.7,4.23e-20
53.8,4.1399999999999996e-20
53.9,3.73e-20
54.0,3.81e-20
54.1,3.74e-20
54.2,3.6699999999999997e-20
54.3,3.28e-20
54.4,3.2200000000000004e-20
54.5,3.43e-20
54.6,3.720000000000001e-20
54.7,4.0000000000000004e-20
54.8,4.04e-20
54.9,3.78e-20
55.0,3.41e-20
55.1,3.37e-20
55.2,3.48e-20
55.3,3.47e-20
55.4,3.2200000000000004e-20
55.5,3.0899999999999997e-20
55.6,3.05e-20
55.7,2.9799999999999996e-20
55.8,2.9799999999999996e-20
55.9,3.21e-20
56.0,3.41e-20
56.1,3.51e-20
56.2,3.43e-20
56.3,3.3100000000000003e-20
56.4,3.3e-20
56.5,3.6200000000000004e-20
56.6,3.86e-20
56.7,3.93e-20
56.8,3.68e-20
56.9,3.41e-20
57.0,3.37e-20
57.1,3.47e-20
57.2,3.52e-20
57.3,3.63e-20
57.4,3.61e-20
57.5,3.39e-20
57.6,3.21e-20
57.7,3.2200000000000004e-20
57.8,3.17e-20
57.9,3.58e-20
58.0,3.79e-20
58.1,3.7599999999999996e-20
58.2,3.68e-20
58.3,3.86e-20
58.4,4.1e-20
58.5,4.2499999999999997e-20
58.6,4.2800000000000006e-20
58.7,4.0499999999999996e-20
58.8,3.7100000000000004e-20
58.9,3.9100000000000004e-20
59.0,4.5399999999999997e-20
59.1,4.8700000000000004e-20
59.2,4.7199999999999996e-20
59.3,5.71e-20
59.4,8.119999999999999e-20
59.5,1.15e-19
59.6,1.56e-19
59.7,1.7600000000000002e-19
59.8,9.45e-19
59.9,2.51e-18
60.0,3.2800000000000003e-18
60.1,2.45e-18
60.2,8.68e-19
60.3,1.7399999999999997e-19
60.4,1.43e-19
60.5,1.0199999999999998e-19
60.6,7.240000000000001e-20
60.7,5.45e-20
60.8,5.1199999999999996e-20
60.9,5.139999999999999e-20
61.0,4.89e-20
61.1,4.38e-20
61.2,4.1399999999999996e-20
61.3,4.17e-20
61.4,4.37e-20
61.5,4.01e-20
61.6,3.73e-20
61.7,3.37e-20
61.8,3.52e-20
61.9,3.5599999999999996e-20
62.0,3.61e-20
62.1,3.4900000000000003e-20
62.2,3.18e-20
62.3,2.9100000000000003e-20
62.4,2.7999999999999997e-20
62.5,2.69e-20
62.6,2.82e-20
62.7,2.83e-20
62.8,2.6800000000000002e-20
62.9,2.5900000000000002e-20
63.0,2.5699999999999996e-20
63.1,2.6800000000000002e-20
63.2,2.66e-20
63.3,2.94e-20
63.4,2.83e-20
63.5,2.84e-20
63.6,2.79e-20
63.7,3.11e-20
63.8,4.01e-20
63.9,4.17e-20
64.0,4.2900000000000004e-20
64.1,4.27e-20
64.2,3.4900000000000003e-20
64.3,3.48e-20
64.4,3.4900000000000003e-20
64.5,3.17e-20
64.6,3.23e-20
64.7,3.23e-20
64.8,3.06e-20
64.9,2.77e-20
65.0,2.6499999999999998e-20
65.1,2.66e-20
65.2,2.7099999999999997e-20
65.3,2.67e-20
65.4,2.5599999999999998e-20
65.5,2.4900000000000002e-20
65.6,2.4900000000000002e-20
65.7,2.5299999999999997e-20
65.8,2.4700000000000004e-20
65.9,2.54e-20
66.0,2.5499999999999995e-20
66.1,2.5099999999999997e-20
66.2,2.5299999999999997e-20
66.3,2.4499999999999998e-20
66.4,2.6000000000000002e-20
66.5,2.76e-20
66.6,2.6800000000000002e-20
66.7,2.72e-20
66.8,2.61e-20
66.9,2.6000000000000002e-20
67.0,2.7999999999999997e-20
67.1,2.63e-20
67.2,2.46e-20
67.3,2.4499999999999998e-20
67.4,2.4700000000000004e-20
67.5,2.5e-20
67.6,2.4700000000000004e-20
67.7,2.41e-20
67.8,2.42e-20
67.9,2.5099999999999997e-20
68.0,2.5299999999999997e-20
68.1,2.58e-20
68.2,2.5499999999999995e-20
68.3,2.61e-20
68.4,2.66e-20
68.5,2.5099999999999997e-20
68.6,2.52e-20
68.7,2.58e-20
68.8,2.64e-20
68.9,2.4700000000000004e-20
69.0,2.33e-20
69.1,2.38e-20
69.2,2.41e-20
69.3,2.38e-20
69.4,2.25e-20
69.5,2.2599999999999998e-20
69.6,2.4800000000000002e-20
69.7,2.58e-20
69.8,2.5e-20
69.9,2.3599999999999998e-20
70.0,2.28e-20
70.1,2.4e-20
70.2,2.69e-20
70.3,2.72e-20
70.4,2.67e-20
70.5,2.3900000000000002e-20
70.6,2.16e-20
70.7,2.18e-20
70.8,2.33e-20
70.9,2.3900000000000002e-20
71.0,2.44e-20
71.1,2.5599999999999998e-20
71.2,2.5699999999999996e-20
71.3,2.54e-20
71.4,2.4800000000000002e-20
71.5,2.4499999999999998e-20
71.6,2.37e-20
71.7,2.28e-20
71.8,2.2599999999999998e-20
71.9,2.34e-20
72.0,2.4800000000000002e-20
72.1,2.5299999999999997e-20
72.2,2.63e-20
72.3,2.61e-20
72.4,2.5699999999999996e-20
72.5,2.4900000000000002e-20
72.6,2.3e-20
72.7,2.12e-20
72.8,2.28e-20
72.9,2.4300000000000003e-20
73.0,2.54e-20
73.1,2.3199999999999997e-20
73.2,2.2699999999999998e-20
73.3,2.3900000000000002e-20
73.4,2.3199999999999997e-20
73.5,2.2400000000000003e-20
73.6,2.33e-20
73.7,2.52e-20
73.8,2.5099999999999997e-20
73.9,2.58e-20
74.0,2.5299999999999997e-20
74.1,2.4900000000000002e-20
74.2,2.52e-20
74.3,2.44e-20
74.4,2.4499999999999998e-20
74.5,2.5099999999999997e-20
74.6,2.58e-20
74.7,2.79e-20
74.8,3.9800000000000003e-20
74.9,4.83e-20
75.0,4.7800000000000004e-20
75.1,4.56e-20
75.2,3.3100000000000003e-20
75.3,2.37e-20
75.4,2.33e-20
75.5,2.13e-20
75.6,2.02e-20
75.7,2.05e-20
75.8,2.05e-20
75.9,2.19e-20
76.0,2.13e-20
76.1,2.06e-20
76.2,2.01e-20
76.3,1.9799999999999998e-20
76.4,2.0299999999999997e-20
76.5,2.0299999999999997e-20
76.6,2.09e-20
76.7,2.18e-20
76.8,2.31e-20
76.9,2.4700000000000004e-20
77.0,2.5e-20
77.1,2.4900000000000002e-20
77.2,2.5299999999999997e-20
77.3,2.5099999999999997e-20
77.4,2.2900000000000002e-20
77.5,2.23e-20
77.6,2.2900000000000002e-20
77.7,2.3599999999999998e-20
77.8,2.25e-20
77.9,2.2699999999999998e-20
78.0,2.28e-20
78.1,2.3199999999999997e-20
78.2,2.38e-20
78.3,2.2699999999999998e-20
78.4,2.1000000000000002e-20
78.5,2.02e-20
78.6,2.11e-20
78.7,2.2699999999999998e-20
78.8,2.42e-20
78.9,2.3199999999999997e-20
79.0,2.2699999999999998e-20
79.1,2.34e-20
79.2,2.28e-20
79.3,2.2900000000000002e-20
79.4,2.16e-20
79.5,2.0299999999999997e-20
79.6,2.0000000000000002e-20
79.7,2.05e-20
79.8,2.2699999999999998e-20
79.9,2.38e-20
80.0,2.4e-20
80.1,2.4e-20
80.2,2.19e-20
80.3,2.11e-20
80.4,2.31e-20
80.5,2.4300000000000003e-20
80.6,2.46e-20
80.7,2.54e-20
80.8,2.4300000000000003e-20
80.9,2.35e-20
81.0,2.3e-20
81.1,2.2599999999999998e-20
81.2,2.33e-20
81.3,2.31e-20
81.4,2.35e-20
81.5,2.21e-20
81.6,2.1699999999999998e-20
81.7,2.1699999999999998e-20
81.8,2.12e-20
81.9,2.2200000000000003e-20
82.0,2.25e-20
82.1,2.16e-20
82.2,2.12e-20
82.3,2.11e-20
82.4,2.2200000000000003e-20
82.5,2.3900000000000002e-20
82.6,2.3599999999999998e-20
82.7,2.25e-20
82.8,2.3199999999999997e-20
82.9,2.06e-20
83.0,2.09e-20
83.1,2.23e-20
83.2,2.33e-20
83.3,2.5699999999999996e-20
83.4,2.7e-20
83.5,2.44e-20
83.6,2.38e-20
83.7,2.28e-20
83.8,2.2900000000000002e-20
83.9,2.2900000000000002e-20
84.0,2.25e-20
84.1,2.11e-20
84.2,2.04e-20
84.3,2.0699999999999998e-20
84.4,2.01e-20
84.5,2.0000000000000002e-20
84.6,2.06e-20
84.7,1.95e-20
84.8,2.02e-20
84.9,2.21e-20
85.0,2.3199999999999997e-20
85.1,2.4e-20
85.2,2.4499999999999998e-20
85.3,2.4700000000000004e-20
85.4,2.3199999999999997e-20
85.5,2.2900000000000002e-20
85.6,2.2400000000000003e-20
85.7,2.2699999999999998e-20
85.8,2.3900000000000002e-20
85.9,2.34e-20
86.0,2.2699999999999998e-20
86.1,2.2400000000000003e-20
86.2,2.18e-20
86.3,2.21e-20
86.4,2.2900000000000002e-20
86.5,2.4499999999999998e-20
86.6,2.44e-20
86.7,2.31e-20
86.8,2.21e-20
86.9,2.3e-20
87.0,2.25e-20
87.1,2.11e-20
