frequency,amb,flag,channel
32.9,1.08e-20,Upper Limit,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
33.0,1.18e-20,Upper Limit,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
33.1,1.13e-20,Upper Limit,L1:PEM-CS_ACC_BSC3_ITMX_X
33.2,1.11e-20,Upper Limit,L1:PEM-CS_ACC_BSC3_ITMX_X
33.3,1.08e-20,Upper Limit,L1:PEM-CS_ACC_BSC3_ITMX_X
33.4,1.1e-20,Upper Limit,L1:PEM-CS_ACC_PSL_PERISCOPE_Y
33.5,7.94e-21,Upper Limit,L1:PEM-CS_ACC_HAM4_SR2_X
33.6,1.17e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
33.7,1.29e-20,Upper Limit,L1:PEM-CS_ACC_HAM3_PR2_Y
33.8,1.18e-20,Upper Limit,L1:PEM-EY_ACC_BEAMTUBE_MAN_Y
33.9,1.29e-20,Upper Limit,L1:PEM-CS_ACC_HAM5_SRM_X
34.0,1.13e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
34.1,1.28e-20,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_MCTUBE_Y
34.2,1.25e-20,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_SRTUBE_X
34.3,1.13e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
34.4,1.19e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
34.5,1.16e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
34.6,1.13e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
34.7,1.2e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
34.8,1.11e-20,Upper Limit,L1:PEM-CS_ACC_BSC2_BS_Y
34.9,1.06e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
35.0,1.14e-20,Upper Limit,L1:PEM-CS_ACC_HAM2_PRM_Z
35.1,1.08e-20,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_SRTUBE_X
35.2,9.5e-21,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_YMAN_X
35.3,1.12e-20,Upper Limit,L1:PEM-CS_ACC_HAM6_OMC_Z
35.4,1.01e-20,Upper Limit,L1:PEM-CS_ACC_BEAMTUBE_YMAN_X
