frequency,amb,flag,darm
14.315000000000001,0.0,0,2.5949999999999997e-18
14.36,0.0,0,2.34e-18
14.405000000000001,0.0,0,2.5749999999999998e-18
14.465,0.0,0,2.175e-18
14.52,0.0,0,2.26e-18
14.565000000000001,0.0,0,2.125e-18
14.625,0.0,0,1.82e-18
14.67,0.0,0,1.97e-18
14.715,0.0,0,2.0799999999999997e-18
14.76,0.0,0,1.6199999999999999e-18
14.805,0.0,0,1.755e-18
14.865,0.0,0,1.8499999999999998e-18
14.91,0.0,0,2.03e-18
14.955,0.0,0,3.03e-18
15.015,0.0,0,4.323e-17
15.06,0.0,0,3.03e-16
15.105,0.0,0,3.01e-16
15.165,0.0,0,1.4135e-17
15.21,0.0,0,2.6599999999999997e-18
15.254999999999999,0.0,0,1.94e-18
15.315000000000001,0.0,0,1.825e-18
15.36,0.0,0,1.88e-18
15.405000000000001,0.0,0,1.6650000000000002e-18
15.465,0.0,0,1.31e-18
15.535,0.0,0,1.66e-18
15.58,0.0,0,2.0600000000000002e-18
15.625,0.0,0,6.3515e-17
15.684999999999999,0.0,0,4.115e-16
15.73,0.0,0,1.6299999999999999e-16
15.774999999999999,0.0,0,4.61e-18
15.835,0.0,0,1.8300000000000003e-18
15.88,0.0,0,1.8e-18
15.925,0.0,0,1.4950000000000001e-18
15.985,0.0,0,1.3500000000000001e-18
16.045,0.0,0,1.23e-18
16.09,0.0,0,1.59e-18
16.134999999999998,0.0,0,1.605e-18
16.195,0.0,0,5.085e-18
16.255,0.0,0,3.31e-16
16.3,0.0,0,4.3099999999999995e-16
16.345,0.0,0,6.932000000000001e-17
16.405,0.0,0,2.145e-18
16.465,0.0,0,1.835e-18
16.52,0.0,0,1.9199999999999998e-18
16.564999999999998,0.0,0,2.215e-18
16.625,0.0,0,1.5799999999999999e-18
16.685000000000002,0.0,0,1.215e-18
16.73,0.0,0,1.81e-18
16.775,0.0,0,4.905e-18
16.835,0.0,0,1.5010000000000001e-16
16.895,0.0,0,4.8e-16
16.955,0.0,0,5.705e-17
17.0,0.0,0,3.71e-18
17.045,0.0,0,1.985e-18
17.105,0.0,0,2.1399999999999998e-18
17.165,0.0,0,1.655e-18
17.225,0.0,0,1.43e-18
17.27,0.0,0,1.46e-18
17.314999999999998,0.0,0,1.335e-18
17.375,0.0,0,1.24e-18
17.435000000000002,0.0,0,1.0600000000000001e-18
17.5,0.0,0,1.075e-18
17.55,0.0,0,1.1799999999999999e-18
17.595,0.0,0,8.805e-19
17.655,0.0,0,1.0155000000000001e-18
17.715,0.0,0,1.14e-18
17.775,0.0,0,8.82e-19
17.835,0.0,0,7.465e-19
17.895,0.0,0,9.405e-19
17.94,0.0,0,9.22e-19
17.985,0.0,0,9.465e-19
18.045,0.0,0,9.14e-19
18.105,0.0,0,1.07e-18
18.165,0.0,0,9.385e-19
18.225,0.0,0,7.81e-19
18.285,0.0,0,7.395000000000001e-19
18.33,0.0,0,8.18e-19
18.375,0.0,0,1.017e-18
18.435000000000002,0.0,0,1.17e-18
18.5,0.0,0,9.030000000000001e-19
18.564999999999998,0.0,0,5.38e-19
18.625,0.0,0,6.535e-19
18.685000000000002,0.0,0,7.264999999999999e-19
18.745,0.0,0,6.61e-19
18.805,0.0,0,5.86e-19
18.865000000000002,0.0,0,5.125e-19
18.91,0.0,0,5.6e-19
18.955,0.0,0,6.04e-19
19.015,0.0,0,5.139999999999999e-19
19.075,0.0,0,6.110000000000001e-19
19.134999999999998,0.0,0,8.124999999999999e-19
19.195,0.0,0,6.77e-19
19.255,0.0,0,4.795e-19
19.314999999999998,0.0,0,4.41e-19
19.375,0.0,0,5.73e-19
19.435000000000002,0.0,0,5.214999999999999e-19
19.5,0.0,0,5.634999999999999e-19
19.564999999999998,0.0,0,5.69e-19
19.625,0.0,0,5.15e-19
19.685000000000002,0.0,0,5.165000000000001e-19
19.745,0.0,0,4.84e-19
19.805,0.0,0,4.1700000000000002e-19
19.865000000000002,0.0,0,4.3099999999999996e-19
19.925,0.0,0,3.43e-19
19.985,0.0,0,4.660000000000001e-19
20.045,0.0,0,3.6950000000000004e-19
20.105,0.0,0,3.7899999999999997e-19
20.165,0.0,0,4.355e-19
20.225,0.0,0,4.76e-19
20.285,0.0,0,4.355e-19
20.345,0.0,0,4.2149999999999993e-19
20.405,0.0,0,3.37e-19
20.465,0.0,0,3.39e-19
20.535,0.0,0,3.795000000000001e-19
20.595,0.0,0,3.555e-19
20.655,0.0,0,3.76e-19
