frequency,amb,flag,channel
15.0,2.3999999999999997e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
18.5,7.5e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
18.6,5.38e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
18.7,4.5399999999999997e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
18.8,4.02e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
18.9,3.52e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
19.0,3.97e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
19.1,5.4e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
19.2,5.94e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
19.3,5.860000000000001e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
19.4,6.28e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
19.5,5.95e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
19.6,5.3300000000000006e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
19.7,6.83e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
19.8,8.77e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
19.9,8.869999999999998e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
20.0,1.72e-19,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
21.0,8.57e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
21.1,7.81e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
21.2,6.77e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
21.3,4.8600000000000006e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
21.4,3.39e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
21.5,2.2200000000000003e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
22.5,9.559999999999999e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
22.6,9.32e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
22.7,1.21e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
22.8,1.22e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
22.9,8.75e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
23.0,5.6399999999999996e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
23.1,5.27e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
23.2,6.93e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
23.3,7.91e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
23.4,7.18e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
23.5,5.230000000000001e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
23.6,4.68e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
23.7,5.2500000000000005e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
23.8,6.3200000000000005e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
23.9,6.9e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
24.0,6.720000000000001e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
24.1,5.44e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_X
24.2,4.8999999999999996e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_X
24.3,5.3200000000000004e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
24.4,5.67e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
24.5,6.0899999999999995e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
24.6,5.67e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
24.7,6.04e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
24.8,6.93e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
24.9,8.98e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
25.0,1.1100000000000001e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
25.1,1.09e-20,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
25.2,9.37e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
25.3,6.709999999999999e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
25.4,4.5699999999999996e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
25.5,5.350000000000001e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
25.6,6.53e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
25.7,5.2600000000000004e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
25.8,5.42e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
25.9,5.99e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
26.0,6.08e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
26.1,5.81e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
26.2,4.8700000000000005e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
26.3,5.0099999999999996e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
26.4,4.98e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
26.5,5.15e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
26.6,6.790000000000001e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
26.7,8.06e-21,Upper Limit,H1:PEM-EX_ACC_BSC9_ETMX_Y
