frequency,amb,flag,darm
7.97,0.0,0,3.37e-16
8.0,0.0,0,2.96e-16
8.045,0.0,0,2.755e-16
8.09,0.0,0,2.68e-16
8.12,0.0,0,2.7200000000000003e-16
8.15,0.0,0,3.04e-16
8.18,0.0,0,2.81e-16
8.225000000000001,0.0,0,2.645e-16
8.27,0.0,0,2.41e-16
8.3,0.0,0,2.64e-16
8.33,0.0,0,2.67e-16
8.375,0.0,0,2.2650000000000003e-16
8.42,0.0,0,2.35e-16
8.45,0.0,0,2.37e-16
8.48,0.0,0,2.02e-16
8.52,0.0,0,2.1299999999999999e-16
8.565000000000001,0.0,0,1.905e-16
8.61,0.0,0,1.8600000000000001e-16
8.64,0.0,0,2.29e-16
8.67,0.0,0,2.1099999999999998e-16
8.715,0.0,0,1.6249999999999998e-16
8.76,0.0,0,1.3e-16
8.79,0.0,0,1.67e-16
8.82,0.0,0,1.8000000000000002e-16
8.865,0.0,0,1.57e-16
8.91,0.0,0,1.71e-16
8.94,0.0,0,1.74e-16
8.97,0.0,0,2.0499999999999998e-16
9.015,0.0,0,1.8950000000000002e-16
9.06,0.0,0,1.92e-16
9.09,0.0,0,1.96e-16
9.135,0.0,0,1.65e-16
9.18,0.0,0,1.34e-16
9.21,0.0,0,1.28e-16
9.24,0.0,0,1.3e-16
9.285,0.0,0,1.2550000000000002e-16
9.33,0.0,0,1.31e-16
9.36,0.0,0,1.39e-16
9.405000000000001,0.0,0,1.595e-16
9.45,0.0,0,1.89e-16
9.48,0.0,0,2.1200000000000002e-16
9.52,0.0,0,2.5299999999999997e-16
9.565000000000001,0.0,0,2.7099999999999997e-16
9.61,0.0,0,1.99e-16
9.64,0.0,0,1.68e-16
9.684999999999999,0.0,0,1.29e-16
9.73,0.0,0,1.3e-16
9.76,0.0,0,2.67e-16
9.805,0.0,0,3.185e-16
9.85,0.0,0,1.41e-16
9.88,0.0,0,1.21e-16
9.925,0.0,0,1.07e-16
9.97,0.0,0,1.1000000000000001e-16
10.0,0.0,0,9.300000000000001e-17
10.045,0.0,0,9.67e-17
10.09,0.0,0,9.02e-17
10.12,0.0,0,7.76e-17
10.165,0.0,0,8.05e-17
10.21,0.0,0,7.580000000000001e-17
10.24,0.0,0,8.05e-17
10.285,0.0,0,8.46e-17
10.33,0.0,0,7.700000000000001e-17
10.36,0.0,0,6.25e-17
10.405000000000001,0.0,0,6.359999999999999e-17
10.45,0.0,0,6.57e-17
10.48,0.0,0,6.800000000000001e-17
10.535,0.0,0,6.4e-17
10.58,0.0,0,6.17e-17
10.61,0.0,0,5.61e-17
10.655000000000001,0.0,0,5.705000000000001e-17
10.7,0.0,0,5.2e-17
10.745000000000001,0.0,0,6e-17
10.79,0.0,0,5.75e-17
10.82,0.0,0,4.74e-17
10.865,0.0,0,4.4700000000000004e-17
10.91,0.0,0,4.2e-17
10.955,0.0,0,4.255e-17
11.0,0.0,0,3.87e-17
11.03,0.0,0,3.8299999999999995e-17
11.075,0.0,0,3.75e-17
11.12,0.0,0,3.3100000000000004e-17
11.165,0.0,0,3.0899999999999994e-17
11.21,0.0,0,3.07e-17
11.24,0.0,0,2.8499999999999995e-17
