frequency,amb,flag,channel
646.06,1.2500000000000001e-21,Upper Limit,L1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
653.12,6.8e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
653.24,0.0,Upper Limit,L1:PEM-EX_MAG_VEA_FLOOR_XYZ
667.36,7.5e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
667.42,0.0,Upper Limit,L1:PEM-EX_MAG_VEA_FLOOR_XYZ
674.48,6.91e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
681.61,7.63e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
688.79,6.74e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
695.76,2.38e-21,Upper Limit,L1:PEM-EY_MAG_EBAY_SUSRACK_XYZ
702.97,7.31e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
709.91,7.2e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
717.18,7.119999999999999e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
724.12,7.61e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
731.39,7.320000000000001e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
738.33,9.88e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
738.48,1.1400000000000002e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_VERTEX_XYZ
745.42,6.420000000000001e-23,Upper Limit,L1:PEM-CS_MAG_LVEA_VERTEX_XYZ
745.55,7.43e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
752.52,8.63e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
752.61,0.0,Upper Limit,L1:PEM-EX_MAG_VEA_FLOOR_XYZ
759.79,9.989999999999998e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
766.76,0.0,Upper Limit,L1:PEM-EX_MAG_VEA_FLOOR_XYZ
766.85,7.750000000000001e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
773.97,9.500000000000001e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
788.03,8.32e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
795.15,2.7699999999999996e-21,Upper Limit,L1:PEM-EY_MAG_VEA_FLOOR_XYZ
802.24,9.55e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
802.36,8.05e-23,Upper Limit,L1:PEM-CS_MAG_LVEA_VERTEX_XYZ
809.33,8.749999999999999e-22,Upper Limit,L1:PEM-CS_MAG_LVEA_OUTPUTOPTICS_XYZ
809.36,0.0,Upper Limit,L1:PEM-EX_MAG_VEA_FLOOR_XYZ
