frequency,amb,flag,channel
773.88,2.45e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
774.39,6.69e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
788.06,2.9100000000000002e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
795.21,2.54e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
802.27,2.8600000000000005e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
809.36,2.8100000000000003e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
816.52,3.1000000000000002e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
823.58,3.12e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
830.67,3.6e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
837.33,2.8100000000000003e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
845.15,1.18e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
852.18,2.14e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
859.06,3.43e-21,Upper Limit,H1:PEM-EY_MAG_EBAY_SEIRACK_XYZ
866.15,3.6e-21,Upper Limit,H1:PEM-EY_MAG_EBAY_SEIRACK_XYZ
873.27,3.3799999999999995e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
873.79,7.359999999999999e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
880.36,3.09e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
887.97,1.12e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
894.52,8.39e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
902.06,9.19e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
908.73,9.6e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
915.52,8.689999999999999e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
922.91,8.95e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
930.33,9.42e-22,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
937.15,3.65e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
944.7,1.04e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
951.42,3.48e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_LSCRACK_XYZ
965.58,3.18e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
972.42,1.19e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
980.24,1.1400000000000001e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
1036.58,2.94e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1064.97,2.6899999999999995e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1072.12,3.4200000000000005e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1150.24,3.72e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1221.15,4.3e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1235.36,4.41e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1263.76,4.83e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1306.36,4.22e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1334.76,5.2e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1349.03,5.2e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1356.09,5.12e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1377.42,5.429999999999999e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1405.85,2.6600000000000002e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
1413.12,5.0600000000000005e-21,Upper Limit,H1:PEM-CS_MAG_LVEA_VERTEX_XYZ
1448.42,5.629999999999999e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
1569.06,5.69e-21,Upper Limit,H1:PEM-EY_MAG_VEA_FLOOR_XYZ
1590.36,5.73e-21,Upper Limit,H1:PEM-CS_MAG_EBAY_SUSRACK_XYZ
