frequency,amb,flag,darm
41.45,1.1775e-20,1,5.805e-20
41.6,8.51e-21,1,6.06e-20
41.75,1.1849999999999999e-20,1,6.210000000000002e-20
41.95,1.26e-20,1,5.725e-20
42.150000000000006,1.1445e-20,1,5.694999999999999e-20
42.3,9.220000000000001e-21,1,5.32e-20
42.45,7.650000000000001e-21,1,5.595e-20
42.650000000000006,1.089e-20,1,6.3e-20
42.849999999999994,1.851e-20,1,7.465e-20
43.0,1.57e-20,0,6.59e-20
43.150000000000006,1.38e-20,1,5.3e-20
43.349999999999994,8.135000000000001e-21,1,5.2099999999999996e-20
43.55,9.395e-21,1,4.79e-20
43.7,1.95e-20,1,5.23e-20
43.849999999999994,1.86e-20,1,6.21e-20
44.05,3.87e-21,1,5.645e-20
44.25,4.1700000000000006e-21,1,5.33e-20
44.45,1.5899999999999998e-20,1,6.324999999999999e-20
44.6,1.03e-20,1,6.25e-20
44.75,4.04e-21,1,4.9100000000000005e-20
44.95,4.94e-21,1,4.7100000000000005e-20
45.150000000000006,3.8e-21,1,4.4849999999999996e-20
45.349999999999994,3.055e-21,1,4.97e-20
45.5,3.3899999999999994e-21,1,4.45e-20
45.650000000000006,4.4749999999999996e-21,1,4.6150000000000003e-20
45.849999999999994,1.45e-20,0,4.6299999999999996e-20
46.05,2.16e-20,1,4.35e-20
46.25,1.1965e-20,1,4.4750000000000005e-20
46.4,1.6200000000000002e-20,1,3.92e-20
46.55,1.41e-20,1,3.98e-20
46.75,7.329999999999999e-21,1,4.2149999999999997e-20
46.95,1.1544999999999999e-20,1,4.4700000000000003e-20
47.150000000000006,1.5899999999999998e-20,1,4.445e-20
47.349999999999994,1.61e-20,1,4.4449999999999995e-20
47.55,1.19e-20,1,3.935e-20
47.7,1.6000000000000002e-20,1,4.47e-20
47.849999999999994,2.3399999999999997e-20,1,4.73e-20
48.05,2.635e-20,1,4.505e-20
48.25,2.755e-20,1,4.5199999999999996e-20
48.45,2.2750000000000003e-20,1,4.7650000000000005e-20
48.650000000000006,2.65e-20,1,4.22e-20
48.849999999999994,3.16e-20,1,4.045e-20
49.0,3.08e-20,1,4.24e-20
49.150000000000006,2.945e-20,1,4.11e-20
49.349999999999994,1.825e-20,1,3.5799999999999997e-20
49.55,1.9349999999999998e-20,1,4.105e-20
49.75,1.73e-20,1,4.48e-20
49.95,1.57e-20,1,4.43e-20
50.150000000000006,1.9149999999999998e-20,1,3.8550000000000004e-20
50.349999999999994,1.795e-20,1,4.09e-20
50.55,1.4449999999999998e-20,1,4.045e-20
50.75,1.2549999999999998e-20,1,3.6000000000000003e-20
50.9,8.729999999999999e-21,1,3.9599999999999997e-20
51.05,9.35e-21,1,4.619999999999999e-20
51.25,8.29e-21,1,3.92e-20
51.45,8.11e-21,1,3.34e-20
51.650000000000006,9.335e-21,1,3.7450000000000003e-20
